invoice_id,vendor_name,vendor_gstin,invoice_number,invoice_date,due_date,amount,tax_amount,total_amount,currency,purchase_order,payment_status,linked_transaction_id,category,description
INV0032,Urban Malls Ltd,41YV7434613234E5U7,INV-2026-032,2026-05-13T15:04:40,2026-05-28,16374.72,2947.45,19322.17,INR,PO-2026-0032,Paid,TXN0052,Utilities,IT support renewal
INV0033,Oracle Retail India,98LO8996443187S1Y2,INV-2026-033,2026-05-24T15:40:42,2026-06-08,16826.19,3028.71,19854.90,INR,PO-2026-0033,Paid,TXN0102,Marketing,Travel reimbursement
INV0034,Indigo Travel Co,64GP5399438548J6R3,INV-2026-034,2026-05-19T15:50:21,2026-06-03,6389.79,1150.16,7539.95,INR,PO-2026-0034,Paid,TXN0006,Marketing,IT support renewal
INV0035,Aviate Consulting,12DF8230578693A7G3,INV-2026-035,2026-05-29T18:19:10,2026-06-13,12650.45,2277.08,14927.53,INR,PO-2026-0035,Paid,TXN0084,Utilities,Travel reimbursement
INV0036,BluePeak Insurance,57VU3711154302M5X4,INV-2026-036,2026-05-14T18:05:45,2026-05-29,109367.95,19686.23,129054.18,INR,,Paid,TXN0062,IT Equipment,Quarterly software maintenance
INV0037,Aviate Consulting,11AW6629956800D7W3,INV-2026-037,2026-05-16T09:14:24,2026-05-31,19000.00,3420.00,22420.00,INR,PO-2026-0037,Paid,TXN0003,IT Equipment,Utilities invoice
INV0038,Crestline Supplies,58YY3181772741V3C9,INV-2026-038,2026-05-19T08:39:41,2026-06-03,9113.33,1640.40,10753.73,INR,PO-2026-0038,Pending,TXN0093,Office Supplies,Consulting services
INV0039,Crestline Supplies,62TV8248327797C2E2,INV-2026-039,2026-05-19T14:22:27,2026-06-03,10647.22,1916.50,12563.72,INR,PO-2026-0039,Paid,TXN0032,Software,IT support renewal
INV0040,BluePeak Insurance,41RT5668916808W1V5,INV-2026-040,2026-05-07T16:38:32,2026-05-22,19508.07,3511.45,23019.52,INR,PO-2026-0040,Pending,TXN0038,Office Supplies,Utilities invoice
INV0041,Sigma Labs,73MD4949623850U2Q1,INV-2026-041,2026-05-12T13:08:24,2026-05-27,17112.55,3080.26,20192.81,INR,,Pending,TXN0047,Utilities,IT support renewal
INV0042,Global Health Services,70YC1273715895C1I4,INV-2026-042,2026-05-02T08:50:25,2026-05-17,20843.46,3751.82,24595.28,INR,PO-2026-0042,Pending,TXN0055,Travel,Travel reimbursement
INV0043,BluePeak Insurance,91RR3501390946C5C9,INV-2026-001,2026-05-30T11:51:09,2026-06-14,19223.06,3460.15,22683.21,INR,PO-2026-0043,Pending,TXN0076,Travel,Travel reimbursement
INV0044,BluePeak Insurance,49WN4909160718H2N2,INV-2026-044,2026-05-15T17:38:03,2026-05-30,4303.96,774.71,5078.67,INR,PO-2026-0044,Paid,TXN0016,Software,Utilities invoice
INV0045,Crestline Supplies,99AF9133463546Q9Z5,INV-2026-045,2026-05-06T13:08:47,2026-05-21,25273.95,4549.31,29823.26,INR,PO-2026-0045,Pending,TXN0094,Utilities,IT support renewal
INV0046,Nexa Systems Pvt Ltd,52ZN5456649300C5W2,INV-2026-046,2026-05-16T15:32:23,2026-05-31,7775.44,1399.58,9175.02,INR,,Paid,TXN0048,IT Equipment,Consulting services
INV0047,Venkatesh Pharma,83VX2889339499X9A1,INV-2026-047,2026-05-28T08:15:02,2026-06-12,7602.03,1368.37,8970.40,INR,PO-2026-0047,Pending,TXN0118,Consulting,Travel reimbursement
INV0048,Astra Foods India,80ZW7870335421K4N6,INV-2026-048,2026-05-09T09:36:23,2026-05-24,9356.44,1684.16,11040.60,INR,PO-2026-0048,Paid,TXN0023,IT Equipment,Campaign agency spend
INV0049,Astra Foods India,61CO5625911102J6C9,INV-2026-049,2026-05-15T08:23:12,2026-05-30,18945.22,3410.14,22355.36,INR,,Pending,TXN0095,Software,Campaign agency spend
INV0050,Aviate Consulting,57SP4201868043R4E1,INV-2026-050,2026-05-30T14:01:14,2026-06-14,4035.09,726.32,4761.41,INR,PO-2026-0050,Paid,TXN0043,Travel,Travel reimbursement
INV0051,Prime Couriers,49DG9680349736N8B3,INV-2026-051,2026-05-23T12:05:02,2026-06-07,25493.87,4588.90,30082.77,INR,,Pending,TXN0090,Office Supplies,IT support renewal
INV0052,Aviate Consulting,20SD9280239999U7C1,INV-2026-052,2026-05-14T18:08:15,2026-05-29,23219.60,4179.53,27399.13,INR,PO-2026-0052,Pending,TXN0119,Software,Travel reimbursement
INV0053,Urban Malls Ltd,50OI4827178315G3Y2,INV-2026-053,2026-05-05T09:10:28,2026-05-20,19000.00,3420.00,22420.00,INR,PO-2026-0053,Pending,TXN0002,Consulting,Travel reimbursement
INV0054,Aviate Consulting,49OI2964194813F5W1,INV-2026-054,2026-05-07T13:09:05,2026-05-22,16323.03,2938.15,19261.18,INR,PO-2026-0054,Pending,TXN0051,Marketing,Office hardware procurement
INV0055,Bharat Telecom,43FA7625996114O9X9,INV-2026-055,2026-05-08T09:29:06,2026-05-23,4286.97,771.65,5058.62,INR,PO-2026-0055,Paid,TXN0016,Utilities,IT support renewal
INV0056,Sigma Labs,26GM7098819622U2S5,INV-2026-056,2026-05-30T09:01:04,2026-06-14,7091.00,1276.38,8367.38,INR,,Pending,TXN0104,Office Supplies,Utilities invoice
INV0057,Urban Malls Ltd,25BO1829276149S7X7,INV-2026-057,2026-05-16T08:24:43,2026-05-31,77498.18,13949.67,91447.85,INR,PO-2026-0057,Pending,TXN0028,Consulting,Office hardware procurement
INV0058,Aviate Consulting,29BT5026778720J8N9,INV-2026-058,2026-05-16T08:05:17,2026-05-31,19423.66,3496.26,22919.92,INR,PO-2026-0058,Pending,TXN0026,Consulting,Office hardware procurement
INV0059,Sigma Labs,90ZR1319501078Z6P9,INV-2026-059,2026-05-26T15:22:58,2026-06-10,10490.46,1888.28,12378.74,INR,PO-2026-0059,Pending,TXN0050,Travel,Campaign agency spend
INV0060,Nexa Systems Pvt Ltd,50TH1480950069Y5B8,INV-2026-060,2026-05-17T13:49:37,2026-06-01,19764.75,3557.65,23322.40,INR,PO-2026-0060,Paid,TXN0032,Office Supplies,Office hardware procurement
INV0061,Oracle Retail India,78ZX1916901164H7L3,INV-2026-061,2026-05-06T11:37:20,2026-05-21,19000.00,3420.00,22420.00,INR,,Pending,TXN0003,Utilities,Utilities invoice
INV0062,Crestline Supplies,82GZ9064668458J3P1,INV-2026-062,2026-05-03T08:14:38,2026-05-18,11961.62,2153.09,14114.71,INR,PO-2026-0062,Pending,TXN0001,Office Supplies,Quarterly software maintenance
INV0063,Indigo Travel Co,26KW3907941403K1A3,INV-2026-063,2026-05-19T10:49:07,2026-06-03,12966.18,2333.91,15300.09,INR,PO-2026-0063,Pending,TXN0010,Utilities,Campaign agency spend
INV0064,Prime Couriers,85DK5944438273E3X7,INV-2026-064,2026-05-26T18:31:41,2026-06-10,19972.76,3595.10,23567.86,INR,PO-2026-0064,Pending,TXN0029,Software,Office hardware procurement
INV0065,Global Health Services,58JX5825233534F1W7,INV-2026-065,2027-01-10T00:00:00,2027-01-25,17573.21,3163.18,20736.39,INR,,Paid,TXN0082,Travel,Travel reimbursement
INV0066,Nimbus Exporters,28KX2274349556L6F2,INV-2026-066,2026-05-27T18:40:46,2026-06-11,9032.42,1625.84,10658.26,INR,,Paid,TXN0034,Software,Consulting services
INV0067,BluePeak Insurance,54IZ2770855408A1M8,INV-2026-067,2026-05-24T14:10:56,2026-06-08,17104.58,3078.82,20183.40,INR,PO-2026-0067,Pending,TXN0045,Consulting,Consulting services
INV0068,Venkatesh Pharma,71ZS4695270557O2Z1,INV-2026-068,2026-05-10T08:20:16,2026-05-25,25310.35,4555.86,29866.21,INR,PO-2026-0068,Pending,TXN0022,IT Equipment,Quarterly software maintenance
INV0069,Global Health Services,19RC6536722886T8W1,INV-2026-069,2026-05-14T18:10:38,2026-05-29,11946.27,2150.33,14096.60,INR,PO-2026-0069,Paid,TXN0013,Consulting,Office hardware procurement
INV0070,Indigo Travel Co,62WR9849378150V5J4,INV-2026-070,2026-05-04T08:25:36,2026-05-19,5308.12,955.46,6263.58,INR,PO-2026-0070,Pending,TXN0020,Travel,IT support renewal
INV0071,Nexa Systems Pvt Ltd,64CJ8869309374D1G3,INV-2026-001,2026-05-21T12:05:30,2026-06-05,13539.22,2437.06,15976.28,INR,,Pending,TXN9999,Utilities,Quarterly software maintenance
INV0072,Nimbus Exporters,94IC9914506351F6M6,INV-2026-072,2026-05-06T15:02:16,2026-05-21,24089.89,4336.18,28426.07,INR,PO-2026-0072,Pending,TXN0029,Consulting,Consulting services
INV0073,Astra Foods India,29YW2584189870V6Z9,INV-2026-073,2026-05-14T17:14:35,2026-05-29,16541.97,2977.55,19519.52,INR,PO-2026-0073,Pending,TXN0105,IT Equipment,IT support renewal
INV0074,Nimbus Exporters,83HP5896182790M1Q9,INV-2026-074,2026-05-26T17:43:39,2026-06-10,10000.00,1800.00,11800.00,INR,PO-2026-0074,Pending,TXN0002,Office Supplies,Quarterly software maintenance
INV0075,Indigo Travel Co,34EB7936182175V7G3,INV-2026-075,2026-05-27T17:16:20,2026-06-11,13314.38,2396.59,15710.97,INR,PO-2026-0075,Paid,TXN0012,Marketing,IT support renewal
INV0076,Prime Couriers,80KI9514580412A9Z7,INV-2026-076,2026-05-04T14:09:09,2026-05-19,6535.24,1176.34,7711.58,INR,,Paid,TXN0119,Travel,Campaign agency spend
INV0077,Venkatesh Pharma,46RL7732376967M8S8,INV-2026-077,2026-05-02T10:17:25,2026-05-17,13499.03,2429.83,15928.86,INR,PO-2026-0077,Pending,TXN0005,Office Supplies,Campaign agency spend
INV0078,Urban Malls Ltd,98HB8785381631L1K5,INV-2026-078,2026-05-10T12:53:31,2026-05-25,9470.98,1704.78,11175.76,INR,PO-2026-0078,Paid,TXN0112,Utilities,Utilities invoice
INV0079,Bharat Telecom,66YK5414864201N2G8,INV-2026-079,2027-01-10T00:00:00,2027-01-25,129149.04,23246.83,152395.87,INR,PO-2026-0079,Pending,TXN0002,Utilities,Campaign agency spend
INV0080,BluePeak Insurance,49WQ7609242239Y9S1,INV-2026-080,2026-05-06T11:56:53,2026-05-21,4793.71,862.87,5656.58,INR,PO-2026-0080,Paid,TXN0032,Office Supplies,IT support renewal
